STA 0
time:0 speed:54 num:10
time:1.99882 speed:12 num:954
time:17.1278 speed:36 num:7303
time:33.282 speed:18 num:7865
time:44.6533 speed:36 num:5504
time:53.6207 speed:18 num:4394
time:70.1921 speed:36 num:8087
time:72.7933 speed:18 num:1295
time:90.2632 speed:54 num:8496
time:90.2668 speed:24 num:5
time:102.457 speed:36 num:5990
time:108.168 speed:9 num:2679
time:108.462 speed:24 num:140
time:112.813 speed:36 num:1994
time:113.402 speed:9 num:290
time:122.415 speed:9 num:4373
time:141.306 speed:6 num:9221
time:152.062 speed:18 num:5287
time:155.934 speed:12 num:1862
time:168.367 speed:36 num:6069
time:183.018 speed:48 num:7014
time:184 speed:54 num:469
time:185.418 speed:36 num:644
time:188.311 speed:36 num:1366
time:198.331 speed:9 num:4871
time:204.096 speed:24 num:2719
time:210.593 speed:48 num:3081
time:218.317 speed:12 num:3739
time:218.929 speed:24 num:286
time:219.586 speed:6 num:339
time:222.143 speed:48 num:1232
time:259.909 speed:54 num:18485
time:274.566 speed:12 num:7035
time:283.87 speed:12 num:4589
time:286.097 speed:6 num:1142
time:288.412 speed:9 num:1150
time:304.535 speed:48 num:7760
time:306.293 speed:48 num:844
time:314.5 speed:18 num:3933
time:340.779 speed:18 num:12648
time:347.44 speed:54 num:3255
time:356.807 speed:9 num:4606
time:356.92 speed:24 num:55
time:359.33 speed:12 num:1083
time:365.159 speed:18 num:2883
time:377.136 speed:6 num:5795
time:399.456 speed:12 num:10800
time:399.725 speed:12 num:115
time:414.945 speed:6 num:7353
time:422.11 speed:48 num:3424
time:424.027 speed:6 num:925
time:425.611 speed:6 num:755
time:428.492 speed:18 num:1365
time:459.239 speed:6 num:15040
time:474.971 speed:54 num:7667
time:484.845 speed:48 num:4725
time:491.857 speed:36 num:3450
time:492.483 speed:9 num:343
time:492.627 speed:36 num:60
time:496.278 speed:24 num:1782
time:496.612 speed:24 num:182
time:499.66 speed:12 num:1476
time:502.108 speed:6 num:1157
time:524.78 speed:12 num:10880
time:536.784 speed:24 num:5874
time:541.979 speed:12 num:2638
time:542.895 speed:6 num:417
time:550.685 speed:6 num:3711
time:553.612 speed:12 num:1387
time:560.636 speed:36 num:3420
time:568.673 speed:9 num:3888
time:582.733 speed:36 num:6879
time:587.589 speed:24 num:2374
time:588.126 speed:6 num:273
time:592.983 speed:24 num:2407
time:631.79 speed:24 num:18859
time:640.623 speed:12 num:4297
time:644.206 speed:24 num:1660
time:698.748 speed:12 num:26660
time:728.193 speed:12 num:14338
time:742.058 speed:12 num:6671
time:762.021 speed:24 num:9914
time:765.415 speed:18 num:1625
time:767.075 speed:36 num:794
time:791.721 speed:36 num:12039
time:827.324 speed:24 num:17174
time:832.864 speed:9 num:2698
time:847.759 speed:54 num:7351
time:873.71 speed:9 num:12463
time:873.991 speed:6 num:143
time:879.48 speed:6 num:2650
time:921.159 speed:24 num:20368
time:930.778 speed:48 num:4692
time:937.015 speed:24 num:3054
time:937.169 speed:9 num:78
time:938.626 speed:54 num:683
time:940.014 speed:9 num:683
time:951.849 speed:6 num:5795
time:961.945 speed:9 num:4950
time:966.673 speed:9 num:2305
time:966.79 speed:9 num:67
time:976.613 speed:24 num:4817
time:979.348 speed:36 num:1281
time:988.471 speed:54 num:4411
time:994.654 speed:18 num:2882
time:1003.95 speed:24 num:4419
time:1034.84 speed:12 num:15140
time:1037.5 speed:54 num:1263
time:1038.02 speed:24 num:250
time:1039.93 speed:18 num:899
time:1066.63 speed:54 num:13122
time:1079.74 speed:24 num:6117
time:1080.22 speed:9 num:239
time:1096.66 speed:48 num:8011
time:1106.49 speed:36 num:4798
time:1107.84 speed:12 num:674
time:1117.62 speed:24 num:4638
time:1134.36 speed:9 num:7897
time:1136.98 speed:18 num:1283
time:1145.95 speed:6 num:4353
time:1152.36 speed:9 num:3129
time:1162.49 speed:18 num:4837
time:1197.13 speed:12 num:16457
time:1214.03 speed:54 num:8300
time:1221.37 speed:36 num:3519
time:1224.35 speed:24 num:1390
time:1233.58 speed:24 num:4539
